,source_node,target_node,score,type
495,nrp1,ARS220,0.06199962904522302,PG
509,nrp1,YBRCdelta19,0.0586192784562131,PG
720,nrp1,tG(GCC)C,0.06650611263610226,PG
1464,nrp1,GPI11,0.07135023227936449,PG
1470,nrp1,SRB7,0.05755035114912314,PG
1510,nrp1,tX(XXX)D,0.05898275763764863,PG
1531,nrp1,YDR355C,0.06646408970869833,PG
1539,nrp1,ETC6,0.06251854956843689,PG
1583,nrp1,YDR396W,0.05770130757745781,PG
2485,nrp1,snR39B,0.0631538052387192,PG
2597,nrp1,THG1,0.06094458082563118,PG
2728,nrp1,tR(UCU)G3,0.06255185457490459,PG
2900,nrp1,ETC4,0.0583021537673335,PG
3214,nrp1,tT(UGU)H,0.06197863991732706,PG
3981,nrp1,snR64,0.0604253868877264,PG
4677,nrp1,RSA3,0.07928903045017559,PG
5045,nrp1,tR(UCU)M2,0.0610233538373912,PG
5145,nrp1,snR78,0.06643598592977248,PG
6011,nrp1,ZEO1,0.05834107850372546,PG
6295,nrp1,ARS1502,0.066836698128047,PG
6703,nrp1,ARS1611,0.06085196783884574,PG
6827,nrp1,YPLWdelta11,0.06381424420138958,PG
7101,nrp1,YPR170W-B,0.06918876499099039,PG
