,source_node,target_node,score,type
18,nrp1,ARS105,-0.05745521069083863,SL
77,nrp1,ARS108,-0.0580056293607422,SL
99,nrp1,tL(CAA)A,-0.06201861535186078,SL
218,nrp1,YBL044W,-0.0555395540200227,SL
253,nrp1,FMT1,-0.05309508770525291,SL
272,nrp1,ARS208,-0.0544629705447087,SL
437,nrp1,YBR144C,-0.05700561326037828,SL
691,nrp1,CWH36,-0.05944930736815761,SL
699,nrp1,ARS308,-0.05976675792662389,SL
781,nrp1,YCR064C,-0.05665131921193216,SL
1111,nrp1,ARS416,-0.05601035262765556,SL
1166,nrp1,YDR048C,-0.05323874223673655,SL
1354,nrp1,tI(UAU)D,-0.05390519679815295,SL
1399,nrp1,YDR250C,-0.05797442707528479,SL
1420,nrp1,tG(GCC)D2,-0.06533088101159124,SL
1433,nrp1,YDR274C,-0.05742227886390126,SL
1798,nrp1,MTC7,-0.05314139145268613,SL
1806,nrp1,YELCdelta3,-0.05316572765649845,SL
1886,nrp1,EDC2,-0.05350346624572599,SL
2155,nrp1,tP(UGG)F,-0.05927904421377576,SL
2210,nrp1,YFR018C,-0.05429137376965965,SL
2222,nrp1,tA(AGC)F,-0.05666421533658318,SL
2223,nrp1,ULI1,-0.0532834285959993,SL
2239,nrp1,YFR035C,-0.05531624747716971,SL
2240,nrp1,tK(CUU)F,-0.05342583038437444,SL
2259,nrp1,ARS609,-0.06089172246022196,SL
2564,nrp1,BRP1,-0.05723051746989254,SL
2598,nrp1,YGR025W,-0.05804986011796256,SL
2610,nrp1,tD(GUC)G2,-0.0588174972393611,SL
2636,nrp1,YGR045C,-0.05297215861753408,SL
2756,nrp1,tG(UCC)G,-0.0531470702627511,SL
2837,nrp1,YCH1,-0.05314977757274553,SL
3025,nrp1,tQ(UUG)H,-0.05420216381167352,SL
3170,nrp1,tP(UGG)H,-0.05605824885632629,SL
3449,nrp1,YIL012W,-0.05382160260027489,SL
3456,nrp1,ARS919,-0.05337481527031587,SL
3485,nrp1,MET28,-0.05445488702082886,SL
3531,nrp1,YJL211C,-0.05763724560559407,SL
3594,nrp1,YJL152W,-0.05404048424206514,SL
3595,nrp1,SNA3,-0.06195776581207307,SL
3659,nrp1,ETC3,-0.0615571850652888,SL
3719,nrp1,YJL043W,-0.05358809439914809,SL
3741,nrp1,YJL027C,-0.05304585964391722,SL
3751,nrp1,YJL015C,-0.06008074769465642,SL
3787,nrp1,ARS1016,-0.05804906180528702,SL
4014,nrp1,ARS1125,-0.05920117001796187,SL
4039,nrp1,ARS1106,-0.05403072151764247,SL
4172,nrp1,snR69,-0.05990197435069702,SL
4175,nrp1,YKL036C,-0.0546610396116233,SL
4227,nrp1,tL(CAA)K,-0.05297479058277681,SL
4229,nrp1,ARS1115,-0.05843804075412677,SL
4376,nrp1,tP(UGG)L,-0.05403072151764247,SL
4618,nrp1,RRT15,-0.05654130943868533,SL
5135,nrp1,YMR007W,-0.05791580355554581,SL
5181,nrp1,ARG80,-0.05826104964875475,SL
5204,nrp1,YMR057C,-0.05381463952928235,SL
5358,nrp1,RNA170,-0.05691052738302607,SL
5551,nrp1,YNL285W,-0.05587970500606067,SL
5822,nrp1,ARS1423,-0.05963072818062269,SL
5830,nrp1,YNL028W,-0.05961154881827987,SL
5864,nrp1,YNRCdelta7,-0.0576841499030467,SL
5867,nrp1,ATO2,-0.05344550303606324,SL
5902,nrp1,ARS1427,-0.05537713358538759,SL
5929,nrp1,BIO4,-0.0560868855235012,SL
6044,nrp1,YOL085C,-0.05292638496746883,SL
6126,nrp1,tP(UGG)O1,-0.06460967805744369,SL
6167,nrp1,YOR024W,-0.05542560117475924,SL
6528,nrp1,YOR345C,-0.05622659446420592,SL
7055,nrp1,YPR142C,-0.06236194379331068,SL
